,image,price,deal,title,shop,location
0,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/TB1A3__OFXXXXaWXFXXXXXXXXXX_!!0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
54.00",186,"犁记太阳饼 台湾百年传统手工糕点 休闲茶歇小吃
美食
安佳奶油",犁记旗舰店,浙江 嘉兴
0,//g-search2.alicdn.com/img/bao/uploaded/i4/i2/827461591/TB2ZMNHl_nI8KJjSszbXXb4KFXa_!!827461591.jpg_360x360Q90.jpg_.webp,"¥
18.80",373,"爆浆麻薯糯米糍粑整箱网红小吃抹茶味
美食
好吃的休闲零食品成人款",奥特曼zhang,福建 厦门
0,//g-search3.alicdn.com/img/bao/uploaded/i4/i4/1697167251/TB2QpKUikyWBuNjy0FpXXassXXa_!!1697167251.jpg_360x360Q90.jpg_.webp,"¥
34.10",196,"山东周村特产香酥脆薄芝麻片烧饼正宗零食小吃
美食
休闲食品成人款",健健康康664,山东 德州
0,//g-search1.alicdn.com/img/bao/uploaded/i4/i3/228615082/TB1RKwdArSYBuNjSspiXXXNzpXa_!!0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
39.90",60,"御食园茯苓果仁脆200g*2 老北京特产零食小吃 传统糕点点心
美食",御食园食品旗舰店,北京
0,//g-search1.alicdn.com/img/bao/uploaded/i4/i1/1056877153/TB2FCj1uQSWBuNjSszdXXbeSpXa_!!1056877153-0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
35.00",376,"红星软香酥陕西特产小吃
美食
零食礼包早餐糕点豆沙点心西安千层饼",红星软香酥旗舰店,陕西 咸阳
0,//g-search2.alicdn.com/img/bao/uploaded/i4/i1/2734961132/TB2wnH7uL1TBuNjy0FjXXajyXXa_!!2734961132.jpg_360x360Q90.jpg_.webp,"¥
28.20",176,"甘肃特产
美食
小吃大饼子油锅盔手工油馍馍咸香火烧饼陕西零食5个",西北绿源,甘肃 平凉
0,//g-search1.alicdn.com/img/bao/uploaded/i4/i1/203885727/TB21AywvYBkpuFjy1zkXXbSpFXa_!!203885727.jpg_360x360Q90.jpg_.webp,"¥
160.00",130,"台湾进口 百年名店 台中犁记饼店 招牌蛋黄酥10入传统糕点
美食
品",雾里成熟,福建 厦门
0,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/TB1nN7_NpXXXXa3XXXXXXXXXXXX_!!0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
69.00",160,"冠素堂观音饼6盒礼袋装 传统文化
美食",冠素堂食品专营店,浙江 舟山
0,//g-search1.alicdn.com/img/bao/uploaded/i4/i4/3976150943/TB2DR0lDx1YBuNjy1zcXXbNcXXa_!!3976150943.png_360x360Q90.jpg_.webp,"¥
24.00",324,"包邮轩妈家蛋黄酥20g*8枚/盒红豆迷你儿童蛋黄酥网红糕点
美食
零食",最后的轻语110,广西 南宁
0,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/457145656/TB262oVaPfguuRjSspkXXXchpXa_!!457145656.jpg_360x360Q90.jpg_.webp,"¥
88.00",56,"零食大礼包休闲食品成人款好吃的
美食
澳门广东珠海特产小吃饼干",澳门特产批发城,广东 珠海
